"URL","Title","Description","H1"
"https://www.yamal.aero,","","",""
"https://www.yakutia.aero,","","",""
"https://www.utair.ru,","","",""
"https://www.uvtaero.ru,","","",""
"https://khabavia.ru,","","",""
"https://www.uralairlines.ru,","","",""
"https://www.tulpar.aero,","","",""
"https://www.flytaiga.com,","","",""
"https://www.citrus.ru,","","",""
"https://www.sirius-aero.ru,","","",""
"https://www.sila-avia.ru,","","",""
"https://www.northwest.aero,","","",""
"https://www.nordwindairlines.ru,","","",""
"https://www.skol.ru,","","",""
"https://www.rusline.aero,","","",""
"https://www.rusjet.aero,","","",""
"https://www.rossiya-airlines.com,","","",""
"https://www.flyredwings.com,","","",""
"https://www.polarair.ru,","","",""
"https://www.pobeda.aero,","","",""
"https://www.orenairport.ru,","","",""
"https://www.nordstar.ru,","","",""
"https://www.meridian-avia.com,","","",""
"https://lightavia.ru/lukojl-avia/,","","",""
"https://krasavia.ru/,","","",""
"https://www.kostroma-avia.ru,","","",""
"https://www.kosmos-air.com,","","",""
"https://www.komiaviatrans.ru,","","",""
"https://aokap.ru,","","",""
"https://www.iraero.ru,","","",""
"https://ikar.aero/ru,","","",""
"https://www.izhavia.su,","","",""
"https://www.gazpromavia.ru,","","",""
"https://www.barkol.ru,","","",""
"https://www.ag24.ru,","","",""
"https://www.amur-avia.ru,","","",""
"https://www.iflyltd.ru,","","",""
"https://www.azurair.com,","","",""
"https://www.azimuth.aero,","","",""
"https://www.flyaurora.ru,","","",""
"https://www.2aoao.ru","Арктические авиалинии","",""
"https://www.yamal.aero,","","",""
"https://www.yakutia.aero,","","",""
"https://www.utair.ru,","","",""
"https://www.uvtaero.ru,","","",""
"https://khabavia.ru,","","",""
"https://www.uralairlines.ru,","","",""
"https://www.tulpar.aero,","","",""
"https://www.flytaiga.com,","","",""
"https://www.citrus.ru,","","",""
"https://www.sirius-aero.ru,","","",""
"https://www.sila-avia.ru,","","",""
"https://www.northwest.aero,","","",""
"https://www.nordwindairlines.ru,","","",""
"https://www.skol.ru,","","",""
"https://www.rusline.aero,","","",""
"https://www.rusjet.aero,","","",""
"https://www.rossiya-airlines.com,","","",""
"https://www.flyredwings.com,","","",""
"https://www.polarair.ru,","","",""
"https://www.pobeda.aero,","","",""
"https://www.orenairport.ru,","","",""
"https://www.nordstar.ru,","","",""
"https://www.meridian-avia.com,","","",""
"https://lightavia.ru/lukojl-avia/,","","",""
"https://krasavia.ru/,","","",""
"https://www.kostroma-avia.ru,","","",""
"https://www.kosmos-air.com,","","",""
"https://www.komiaviatrans.ru,","","",""
"https://aokap.ru,","","",""
"https://www.iraero.ru,","","",""
"https://ikar.aero/ru,","","",""
"https://www.izhavia.su,","","",""
"https://www.gazpromavia.ru,","","",""
"https://www.barkol.ru,","","",""
"https://www.ag24.ru,","","",""
"https://www.amur-avia.ru,","","",""
"https://www.iflyltd.ru,","","",""
"https://www.azurair.com,","","",""
"https://www.azimuth.aero,","","",""
"https://www.flyaurora.ru,","","",""
"https://www.2aoao.ru","Арктические авиалинии","",""
"https://www.yamal.aero,","","",""
"https://www.yakutia.aero,","","",""
"https://www.utair.ru,","","",""
"https://www.uvtaero.ru,","","",""
"https://khabavia.ru,","","",""
"https://www.uralairlines.ru,","","",""
"https://www.tulpar.aero,","","",""
"https://www.flytaiga.com,","","",""
"https://www.citrus.ru,","","",""
"https://www.sirius-aero.ru,","","",""
"https://www.sila-avia.ru,","","",""
"https://www.northwest.aero,","","",""
"https://www.nordwindairlines.ru,","","",""
"https://www.skol.ru,","","",""
"https://www.rusline.aero,","","",""
"https://www.rusjet.aero,","","",""
"https://www.rossiya-airlines.com,","","",""
"https://www.flyredwings.com,","","",""
"https://www.polarair.ru,","","",""
"https://www.pobeda.aero,","","",""
"https://www.orenairport.ru,","","",""
"https://www.nordstar.ru,","","",""
"https://www.meridian-avia.com,","","",""
"https://lightavia.ru/lukojl-avia/,","","",""
"https://krasavia.ru/,","","",""
"https://www.kostroma-avia.ru,","","",""
"https://www.kosmos-air.com,","","",""
"https://www.komiaviatrans.ru,","","",""
"https://aokap.ru,","","",""
"https://www.iraero.ru,","","",""
"https://ikar.aero/ru,","","",""
"https://www.izhavia.su,","","",""
"https://www.gazpromavia.ru,","","",""
"https://www.barkol.ru,","","",""
"https://www.ag24.ru,","","",""
"https://www.amur-avia.ru,","","",""
"https://www.iflyltd.ru,","","",""
"https://www.azurair.com,","","",""
"https://www.azimuth.aero,","","",""
"https://www.flyaurora.ru,","","",""
"https://www.2aoao.ru","Арктические авиалинии","",""
